lat,lon
-7.9153897,112.589158
-7.9154302,112.5890491
-7.9154758,112.5890329
-7.9155857,112.5890844
-7.9155892,112.5890987
-7.9155604,112.5891941
-7.915554,112.589205
-7.9155493,112.5892288
-7.915528,112.5892265
